Winkelproductcode,Titel,Beschrijving,Prijs,URL,Afbeelding,EAN,Voorraad,Levertijd_nl,Weergave,Merk,Categorie,Product maat,Model code,Variant code,Extra afbeeldingen,Kleur,Materiaal,Geslacht,Leeftijdsgroep
DEE85128311598,"Apple 20W USB-C Netzteil + USB-C auf Lightning Kabel 2m – Bundle | Schnellladen, Weiß (Originalverpackung)","Apple 20W USB-C Netzteil + USB-C auf Lightning Kabel 2m – Bundle | Schnellladen, Weiß (Originalverpackung)",23.99,https://bosaverna.de/products/apple-20w-usb-c-power-adapter-2m-usb-c-to-lightning-cable,https://bosaverna.de/cdn/shop/files/Screenshot_10.jpg?v=1771922808&width=600,4260723913384,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DEE85128311598,DEE85128311598,,,,Unisex,Volwassen
DEE85128311602,USB-C 240 W Ladekabel (2 m) – Originalverpackung,USB-C 240 W Ladekabel (2 m) – Originalverpackung,18.99,https://bosaverna.de/products/usb-c-240w-charge-cable2m?_pos=1&_psq=USB-C+240W+CHARGE+CABLE%282M%29&_ss=e&_v=1.0,https://bosaverna.de/cdn/shop/files/Usb-c240wChargeCable_2m.jpg?v=1771102140&width=800,195949093432,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DEE85128311602,DEE85128311602,,,,Unisex,Volwassen
DEE85128311603,USB-C 240 W Ladekabel (2 m) – Originalverpackung,USB-C 240 W Ladekabel (2 m) – Originalverpackung,18.99,https://bosaverna.de/products/usb-c-240w-charge-cable2m?_pos=1&_psq=USB-C+240W+CHARGE+CABLE%282M%29&_ss=e&_v=1.0,https://bosaverna.de/cdn/shop/files/Usb-c240wChargeCable_2m.jpg?v=1771102140&width=800,195949775390,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DEE85128311603,DEE85128311603,,,,Unisex,Volwassen
DEE85128311604,"USB-C- vs. Lightning-Kabel (1 m), ohne Verpackung – Originalverpackung","USB-C- vs. Lightning-Kabel (1 m), ohne Verpackung – Originalverpackung",11.99,https://bosaverna.de/products/usb-c-to-lightning-cable-2m?_pos=1&_psq=Kabel+%281+m%29&_ss=e&_v=1.0,https://bosaverna.de/cdn/shop/files/Apple60wUsb-cCable1m.jpg?v=1771101506&width=800,190199370388,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DEE85128311604,DEE85128311604,,,,Unisex,Volwassen
DEE85128311605,Apple 140W USB-C (MW2M3ZM/A),"Apple 140 W USB-C Power Adapter – Apples leistungsstärkstes USB-C-Netzteil für MacBook Pro 16"", neu und originalverpackt. Als weltweit erster 140-W-USB-PD-3.1-GaN-Adapter setzt dieses Netzteil neue Maßstäbe beim Schnellladen – mit bis zu 28 V / 5 A Ausgangsleistung und automatischer Leistungsanpassung für alle angeschlossenen Geräte. Lieferung in versiegelter Apple-Originalverpackung, unbenutzt.",50.99,https://bosaverna.de/products/apple-140w-usb-c-mw2m3zm-a,https://bosaverna.de/cdn/shop/files/d3cc1e1f4758bfc94a318e5a1ad3db33.webp?v=1775771192&width=600,195949377112,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DE449651621,DEE85128311605,,,,Unisex,Volwassen
DEE85128311606,Apple 140W USB-C Netzteil,"Apple 140 W USB-C Power Adapter – Apples leistungsstärkstes USB-C-Netzteil für MacBook Pro 16"", neu und originalverpackt. Als weltweit erster 140-W-USB-PD-3.1-GaN-Adapter setzt dieses Netzteil neue Maßstäbe beim Schnellladen – mit bis zu 28 V / 5 A Ausgangsleistung und automatischer Leistungsanpassung für alle angeschlossenen Geräte. Lieferung in versiegelter Apple-Originalverpackung, unbenutzt.",50.99,https://bosaverna.de/products/apple-140w-usb-c-mw2m3zm-a,https://bosaverna.de/cdn/shop/files/0d03b7cb37ff5c7fab77ab6cd031200d.webp?v=1775771192&width=600,194252750766,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DE449651622,DEE85128311606,,,,Unisex,Volwassen
DEE85128311607,Apple 87W USB?C Netzteil MNF82Z/A,Apple 87W USB?C Netzteil MNF82Z/A,58.99,https://bosaverna.de/products/apple-87w-usb-c-power-adapter-mnf82z-a,https://bosaverna.de/cdn/shop/files/Apple87WUSB_CNetzteilMNF82Z_A-1.webp?v=1786910455&width=600,190198099044,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DE449651623,DEE85128311607,,,,Unisex,Volwassen
DEE85128311608,Apple 85W MagSafe 2 Netzteil MD506Z/A,Apple 85W MagSafe 2 Netzteil MD506Z/A,62.9,https://bosaverna.de/products/apple-85w-magsafe-2-power-adapter-md506z-a,https://bosaverna.de/cdn/shop/files/Apple85WMagSafe2NetzteilMD506Z_A1.jpg?v=1786911407&width=600,885909611508,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DE449651624,DEE85128311608,,,,Unisex,Volwassen
DEE85128311609,Apple 60W MagSafe 2 Netzteil MD565Z/A,Apple 60W MagSafe 2 Netzteil MD565Z/A,58.99,https://bosaverna.de/products/apple-60w-magsafe-2-power-adapter-md565z-a,https://bosaverna.de/cdn/shop/files/s-l1200_71e44448-6f81-47dd-b135-ba1a62d1cf89.jpg?v=1786909748&width=600,885909575763,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DE449651625,DEE85128311609,,,,Unisex,Volwassen
DEE85128311610,Apple 60W USB-C auf USB-C Ladekabel 1m,Apple 60W USB-C auf USB-C Ladekabel 1m,14.99,https://bosaverna.de/products/apple-60w-usb-c-cable-1m,https://bosaverna.de/cdn/shop/files/Apple60wUsb-cCable1m.jpg?v=1771101506&width=600,195949371905,20,2-5 Werktage,1,Apple,Telefoon & Tablet > Opladers & Kabels,,DE449651626,DEE85128311610,,,,Unisex,Volwassen
